Discovery,Initial Access,Execution,Persistence,Privilege Escalation,Defense Evasion,CredentialAccess,Collection,Exfiltration,Impact
BatchGetBuilds,InvokeModel,SendCommand,CreateDefaultVpc,CreateAccessEntry,LeaveOrganization,UpdateSsoConfiguration,ModifySnapshotAttribute,SharedSnapshotCopyInitiated,PutBucketPolicy
BatchGetProjects,StartSession,StartQueryExecution,CreateInstances,AssociateAccessPolicy,StopLogging,GetPasswordData,GetConsoleScreenshot,SharedSnapshotVolumeCreated,PutBucketCors
DescribeAddresses,GetAuthorizationToken,StartJobRun,CreateIPSet,UpdateAccessEntry,DeleteTrail,RequestCertificate,CreateDBSnapshot,ModifyDBClusterSnapshotAttribute,PutBucketLifecycle
DescribeCertificate,ListFoundationModels,CreateFunction20150331,CreateKeyPair,ModifyInstanceAttribute,UpdateTrail,BatchGetSecretValue,CreateSnapshot,ModifyDBSnapshotAttribute,PutBucketReplication
DescribeConfigurationAggregators,GetFoundationModel,UpdateFunctionCode20150331v2,CreateLoginProfile,SwitchRole,DisableRule,CreateApiKey,,StartExportTask,DeleteBucketPolicy
DescribeConfigurationRecorders,CreateModelCustomizationJob,UpdateFunctionConfiguration20150331v2,RunInstances,CreateInstanceProfile,DisassociateFromMasterAccount,GetSecretValue,,,DeleteBucketCors
DescribeCustomerGateways,ListModelCustomizationJobs,RegisterTaskDefinition,RunTask,UpdateAssumeRolePolicy,DisassociateMembers,ListVaults,,,DeleteBucketReplication
DescribeDBInstances,InvokeModelWithResponseStream,StartInstances,CreateAccessKey,,DeleteRule,GetSigninToken,,,VerifyEmailIdentity
DescribeDBSnapshots,ConsoleLogin,,GetFederationToken,,StopMonitoringMembers,,,,CreateEmailIdentity
DescribeDeliveryChannelStatus,StartPrimaryEmailUpdate,,CreateUser,,StopConfigurationRecorder,,,,DeleteIdentity
DescribeDeliveryChannels,PasswordRecoveryRequested,,PutUserPolicy,,DeleteDeliveryChannel,,,,DeleteEmailIdentity
DescribeDirectConnectGatewayAssociations,,,AttachUserPolicy,,PutDeliveryChannel,,,,DeleteSubnet
DescribeDirectConnectGateways,,,UpdateLoginProfile,,PutConfigurationRecorder,,,,DeleteCluster
DescribeFlowLogs,,,CreateGroup,,DeleteGraph,,,,DisableKey
DescribeHosts,,,AttachGroupPolicy,,PutEventSelectors,,,,ScheduleKeyDeletion
DescribeImages,,,CreateRole,,DisableEbsEncryptionByDefault,,,,DeleteDBCluster
DescribeInstanceAttribute,,,AttachRolePolicy,,DeleteDetector,,,,CopyObject
DescribeLaunchTemplateVersions,,,DeleteGroupPolicy,,DeletePublishingDestination,,,,PutObject
DescribeLoadBalancerAttributes,,,DeleteRolePolicy,,DeleteThreatIntelSet,,,,PutBucketVersioning
DescribeLoadBalancers,,,DeleteUserPolicy,,CreateNetworkAcl,,,,UpdateAccountSendingEnabled
DescribeLogGroups,,,CreateImage,,CreateNetworkAclEntry,,,,PutAccountSendingAttributes
DescribeLogStreams,,,CreateRepository,,DeleteNetworkAcl,,,,DeleteVpc
DescribeNatGateways,,,PutImage,,DeleteMembers,,,,PutBucketPublicAccessBlock
DescribeNetworkAcls,,,PutGroupPolicy,,DeleteNetworkAclEntry,,,,DeleteDBInstance
DescribeNetworkInterfaces,,,CreateVirtualMFADevice,,ReplaceNetworkAclEntry,,,,DeleteDBSnapshot
DescribeOrganization,,,CreateConnection,,ReplaceNetworkAclAssociation,,,,DeleteSnapshot
DescribeParameters,,,ApplySecurityGroupsToLoadBalancer,,CreateCustomerGateway,,,,DeleteVolume
DescribeRepositories,,,SetSecurityGroups,,DeleteCustomerGateway,,,,StopInstances
DescribeRouteTables,,,AuthorizeDBSecurityGroupIngress,,AttachInternetGateway,,,,
DescribeSecurityGroups,,,CreateDBSecurityGroup,,CreateInternetGateway,,,,
DescribeSnapshots,,,ChangePassword,,DeleteInternetGateway,,,,
DescribeSubnets,,,PutRolePolicy,,DetachInternetGateway,,,,
DescribeTable,,,ImportKeyPair,,DeleteCertificate,,,,
DescribeTaskDefinition,,,CreatePolicy,,DeleteConfigRule,,,,
DescribeTrails,,,DeletePolicy,,DeactivateMFADevice,,,,
DescribeVolumes,,,SetDefaultPolicyVersion,,DeleteAccessEntry,,,,
DescribeVpcEndpoints,,,CreatePolicyVersion,,DeleteResolverQueryLogConfig,,,,
DescribeVpcPeeringConnections,,,DeletePolicyVersion,,DisassociateResolverQueryLogConfig,,,,
DescribeVpcs,,,DetachRolePolicy,,CreateRoute,,,,
GetAccount,,,DetachUserPolicy,,CreateRouteTable,,,,
GetAccountPasswordPolicy,,,DetachGroupPolicy,,ReplaceRoute,,,,
GetAccountSettings,,,CreateTrustAnchor,,ReplaceRouteTableAssociation,,,,
GetApiKeys,,,DeleteGroup,,DeleteRouteTable,,,,
GetCallerIdentity,,,CreateService,,DeleteRoute,,,,
GetCertificate,,,StartTask,,DisassociateRouteTable,,,,
GetClientCertificates,,,AddUserToGroup,,PutBucketAcl,,,,
GetCredentialReport,,,CreateSAMLProvider,,DeleteAccountPublicAccessBlock,,,,
GetExport,,,CreateOpenIDConnectProvider,,AuthorizeSecurityGroupIngress,,,,
GetFindings,,,InviteAccountToOrganization,,AuthorizeSecurityGroupEgress,,,,
GetFindingsStatistics,,,CreateAccount,,RevokeSecurityGroupIngress,,,,
GetFunction,,,CreateOrganization,,RevokeSecurityGroupEgress,,,,
GetHostedZoneCount,,,CreatePermissionSet,,CreateSecurityGroup,,,,
GetInstances,,,AttachManagedPolicyToPermissionSet,,DeleteSecurityGroup,,,,
GetMasterAccount,,,CreateAccountAssignment,,DisableSecurityHub,,,,
GetMethod,,,PublishVersion,,DeleteFlowLogs,,,,
GetBucketAcl,,,PublishLayerVersion,,DeleteBucketEncryption,,,,
GetAccountAuthorizationDetails,,,AddLayerVersionPermission,,DisableAWSServiceAccess,,,,
GetBucketVersioning,,,AddPermission,,PutRule,,,,
DescribeInstances,,,AddRoleToInstanceProfile,,PutTargets,,,,
GetParameter,,,AttachVolume,,RemoveRoleFromInstanceProfile,,,,
GetPolicy,,,CreateVolume,,UpdateIPSet,,,,
GetRegions,,,ModifyDBInstance,,DeleteAccessKey,,,,
GetSessionToken,,,RestoreDBInstanceFromDBSnapshot,,DeleteUser,,,,
GetResources,,,,,UpdateAccessKey,,,,
GetRestApis,,,,,ModifyImageAttribute,,,,
GetRole,,,,,,,,,
GetSendQuota,,,,,,,,,
GetStages,,,,,,,,,
GetSubscriptionState,,,,,,,,,
ListAliases,,,,,,,,,
ListBuckets,,,,,,,,,
ListBuilds,,,,,,,,,
ListCertificateAuthorities,,,,,,,,,
ListCertificates,,,,,,,,,
ListClusters,,,,,,,,,
ListContainerInstances,,,,,,,,,
ListDBInstances,,,,,,,,,
ListDomains,,,,,,,,,
ListEventSourceMappings20150331,,,,,,,,,
ListFindings,,,,,,,,,
ListFunctions20150331,,,,,,,,,
ListGroups,,,,,,,,,
ListHostedZones,,,,,,,,,
ListIdentities,,,,,,,,,
ListInstanceProfiles,,,,,,,,,
ListIPSets,,,,,,,,,
ListAccessKeys,,,,,,,,,
ListMembers,,,,,,,,,
ListPolicies,,,,,,,,,
ListProjects,,,,,,,,,
ListQueryLoggingConfigs,,,,,,,,,
ListRoles,,,,,,,,,
ListSecrets,,,,,,,,,
ListTables,,,,,,,,,
ListTags,,,,,,,,,
ListTaskDefinitions,,,,,,,,,
ListModels,,,,,,,,,
DescribeModel,,,,,,,,,
DescribeTrainingJob,,,,,,,,,
ListTrainingJobs,,,,,,,,,
GetAccountSendingEnabled,,,,,,,,,
ListEmailIdentities,,,,,,,,,
ListServiceQuotas,,,,,,,,,
GetIdentityVerificationAttributes,,,,,,,,,
GetSMSAttributes,,,,,,,,,
GetSMSSandboxAccountStatus,,,,,,,,,
ListOriginationNumbers,,,,,,,,,
ListTopics,,,,,,,,,
ListSubscriptions,,,,,,,,,
ListAttachedUserPolicies,,,,,,,,,
ListUsers,,,,,,,,,
LookupEvents,,,,,,,,,
ListRolePolicies,,,,,,,,,
SimulatePrincipalPolicy,,,,,,,,,
